track_id,start_frame,end_frame,frames_seen,mean_net_intensity,max_net_intensity,dominant_class
0,0.0,73.0,74,48.10405405405406,72.40000000000003,medium
1,0.0,7.0,8,41.237500000000004,49.19999999999999,low
2,0.0,37.0,37,72.82702702702704,121.20000000000002,high
3,0.0,65.0,65,51.91076923076923,83.60000000000002,high
4,0.0,86.0,76,47.22631578947369,63.80000000000001,medium
5,0.0,84.0,71,39.871830985915494,51.19999999999999,low
6,0.0,0.0,1,40.400000000000006,40.400000000000006,low
7,0.0,88.0,84,74.44285714285715,95.40000000000003,high
8,0.0,88.0,87,48.877011494252876,66.19999999999999,medium
9,0.0,86.0,83,47.32650602409639,61.400000000000006,medium
10,0.0,13.0,13,97.40000000000002,126.0,high
11,0.0,86.0,76,55.11973684210527,98.19999999999999,high
12,0.0,87.0,87,48.906896551724145,65.20000000000002,medium
13,0.0,86.0,80,50.12125000000001,66.4,medium
14,0.0,65.0,59,42.4813559322034,60.60000000000002,low
15,0.0,86.0,87,55.38850574712644,75.4,high
16,0.0,88.0,87,47.58620689655172,71.80000000000001,medium
17,0.0,88.0,84,47.33095238095239,66.0,medium
18,0.0,86.0,81,47.68518518518519,61.20000000000002,medium
19,0.0,1.0,2,41.400000000000006,46.80000000000001,low
20,0.0,88.0,78,75.16025641025642,95.4,high
21,0.0,75.0,56,41.28750000000001,60.400000000000006,low
22,0.0,3.0,4,45.2,50.80000000000001,medium
23,0.0,88.0,84,107.03333333333335,135.50000000000003,high
24,0.0,51.0,41,42.47317073170732,55.60000000000002,low
25,0.0,87.0,71,58.59014084507043,88.19999999999999,high
26,0.0,0.0,1,36.400000000000006,36.400000000000006,low
27,0.0,54.0,51,44.603921568627456,63.0,medium
28,0.0,24.0,23,42.856521739130436,57.69999999999999,low
29,0.0,81.0,66,46.96818181818182,64.5,medium
30,0.0,45.0,35,51.60857142857143,63.80000000000001,medium
31,0.0,19.0,19,85.50526315789475,114.19999999999999,high
32,0.0,25.0,16,41.00625,54.19999999999999,low
33,0.0,53.0,47,41.368085106382985,52.5,low
34,0.0,82.0,73,47.08356164383562,67.19999999999999,medium
35,0.0,88.0,74,48.37567567567569,71.60000000000002,medium
36,0.0,88.0,82,75.5768292682927,94.19999999999999,high
37,0.0,86.0,86,53.75000000000001,69.60000000000002,high
38,0.0,26.0,18,48.03333333333334,58.19999999999999,medium
39,0.0,88.0,89,72.20000000000002,91.40000000000003,high
40,0.0,86.0,74,46.18108108108109,59.70000000000002,medium
