small_sigma,big_sigma,threshold_abs,min_distance,min_net_intensity_p90,min_net_intensity_mean,precision,recall,f1,tp,fp,fn,count_mae,annotated_frames,balanced_score
1.2,7.0,20.0,4,31.0,11.0,0.9529262086513995,0.8141304347826087,0.8780773739742087,749,37,171,13.4,10,0.8646773739742087
1.2,7.0,20.0,4,32.0,11.0,0.9529262086513995,0.8141304347826087,0.8780773739742087,749,37,171,13.4,10,0.8646773739742087
1.2,9.0,20.5,6,24.0,11.0,0.9529262086513995,0.8141304347826087,0.8780773739742087,749,37,171,13.4,10,0.8646773739742087
1.2,9.0,20.5,6,26.0,11.0,0.9529262086513995,0.8141304347826087,0.8780773739742087,749,37,171,13.4,10,0.8646773739742087
1.2,9.0,20.5,6,28.0,11.0,0.9529262086513995,0.8141304347826087,0.8780773739742087,749,37,171,13.4,10,0.8646773739742087
1.2,7.0,19.5,6,33.0,10.0,0.928136419001218,0.8282608695652174,0.8753589890867318,762,59,158,10.7,10,0.8646589890867318
1.2,11.0,20.0,6,33.0,10.0,0.927007299270073,0.8282608695652174,0.8748564867967854,762,60,158,10.2,10,0.8646564867967854
1.2,9.0,18.0,6,31.0,11.0,0.915576694411415,0.8369565217391305,0.8745031232254401,770,71,150,9.9,10,0.8646031232254401
1.2,11.0,20.0,4,33.0,10.0,0.9248484848484848,0.8293478260869566,0.8744985673352437,763,62,157,9.9,10,0.8645985673352437
1.2,7.0,20.0,6,33.0,10.0,0.9357231149567367,0.8228260869565217,0.8756506651243493,757,52,163,11.1,10,0.8645506651243493
1.2,9.0,19.5,6,33.0,11.0,0.9425,0.8195652173913044,0.8767441860465117,754,46,166,12.2,10,0.8645441860465117
1.2,9.0,18.0,4,33.0,11.0,0.9186602870813397,0.8347826086956521,0.8747152619589977,768,68,152,10.2,10,0.8645152619589977
1.2,11.0,18.0,4,29.0,11.0,0.911452184179457,0.8391304347826087,0.8737973967176005,772,75,148,9.3,10,0.8644973967176005
1.2,9.0,20.0,4,31.0,11.0,0.9459119496855346,0.8173913043478261,0.8769679300291546,752,43,168,12.5,10,0.8644679300291547
1.2,9.0,20.0,4,32.0,11.0,0.9459119496855346,0.8173913043478261,0.8769679300291546,752,43,168,12.5,10,0.8644679300291547
1.2,11.0,20.0,5,33.0,11.0,0.9459119496855346,0.8173913043478261,0.8769679300291546,752,43,168,12.5,10,0.8644679300291547
1.2,11.0,20.5,5,29.0,8.0,0.9042056074766355,0.841304347826087,0.8716216216216216,774,82,146,7.2,10,0.8644216216216216
1.2,9.0,19.5,5,31.0,11.0,0.9379652605459057,0.8217391304347826,0.8760139049826188,756,50,164,11.6,10,0.8644139049826187
1.2,9.0,19.5,5,32.0,11.0,0.9379652605459057,0.8217391304347826,0.8760139049826188,756,50,164,11.6,10,0.8644139049826187
