branch_name,branch_label,branch_short,split,precision,recall,f1,tp,fp,fn,count_mae,annotated_frames
baseline_bandpass,Baseline bandpass,baseline,train,0.890422077922078,0.8374045801526717,0.8630999213217939,1097,135,213,6.285714285714286,14
baseline_bandpass,Baseline bandpass,baseline,holdout,0.8857958600999286,0.8494182067077344,0.86722571628232,1241,160,220,6.5,16
baseline_bandpass,Baseline bandpass,baseline,all_annotated,0.8879605013292822,0.8437387224828582,0.8652849740932643,2338,295,433,6.4,30
background_subtracted,Local background subtraction,bg-sub,train,0.838150289017341,0.8854961832061069,0.8611729769858947,1160,224,150,10.142857142857142,14
background_subtracted,Local background subtraction,bg-sub,holdout,0.8157232704402516,0.8877481177275839,0.8502130449033104,1297,293,164,10.9375,16
background_subtracted,Local background subtraction,bg-sub,all_annotated,0.8261600537995964,0.8866835077589318,0.8553524804177546,2457,517,314,10.566666666666666,30
temporal_median_bandpass,Temporal median + bandpass,temp-med,train,0.9157088122605364,0.5473282442748092,0.6851409460105111,717,66,593,39.07142857142857,14
temporal_median_bandpass,Temporal median + bandpass,temp-med,holdout,0.9226277372262773,0.432580424366872,0.5890027958993476,632,53,829,48.75,16
temporal_median_bandpass,Temporal median + bandpass,temp-med,all_annotated,0.9189373297002725,0.48682785997834715,0.6364708657702288,1349,119,1422,44.233333333333334,30
