small_sigma,big_sigma,threshold_abs,min_distance,min_net_intensity_p90,min_net_intensity_mean,precision,recall,f1,tp,fp,fn,count_mae,annotated_frames,balanced_score
1.2,9.0,20.0,5,27.0,9.0,0.858678955453149,0.8534351145038168,0.8560490045941808,1118,184,192,6.0,14,0.8500490045941808
1.2,9.0,21.0,5,31.0,9.0,0.8833063209076175,0.8320610687022901,0.8569182389937108,1090,144,220,7.0,14,0.8499182389937108
1.2,11.0,19.5,5,27.0,9.0,0.8502633559066968,0.8625954198473282,0.8563849943160288,1130,199,180,6.5,14,0.8498849943160288
1.2,11.0,19.5,5,29.0,9.0,0.8523845571536715,0.8595419847328244,0.8559483086278982,1126,195,184,6.357142857142857,14,0.8495911657707553
1.2,9.0,21.0,5,29.0,9.0,0.8799355358581789,0.833587786259542,0.8561348490787926,1092,149,218,6.642857142857143,14,0.8494919919359354
1.2,9.0,19.5,5,29.0,9.0,0.8528072837632777,0.8580152671755725,0.8554033485540334,1124,194,186,6.142857142857143,14,0.8492604914111763
1.2,9.0,19.5,5,27.0,9.0,0.850566037735849,0.8603053435114504,0.8554079696394686,1127,198,183,6.214285714285714,14,0.8491936839251829
1.2,11.0,20.0,5,27.0,9.0,0.856159143075746,0.8541984732824427,0.8551776843714176,1119,188,191,6.214285714285714,14,0.8489633986571319
1.2,9.0,20.5,5,31.0,11.0,0.9246275197195443,0.8053435114503816,0.8608731130150958,1055,86,255,12.071428571428571,14,0.8488016844436672
1.2,9.0,20.0,5,29.0,9.0,0.8589051657671549,0.850381679389313,0.8546221710778672,1114,183,196,5.928571428571429,14,0.8486935996492958
1.2,11.0,21.0,5,31.0,9.0,0.8785197103781175,0.833587786259542,0.8554641598119859,1092,151,218,6.785714285714286,14,0.8486784455262716
1.2,11.0,21.0,5,29.0,9.0,0.8752,0.8351145038167939,0.8546874999999999,1094,156,216,6.428571428571429,14,0.8482589285714285
1.2,11.0,20.5,5,31.0,11.0,0.9230096237970253,0.8053435114503816,0.8601712189156135,1055,88,255,11.928571428571429,14,0.8482426474870421
1.2,9.0,20.5,5,29.0,11.0,0.9222027972027972,0.8053435114503816,0.8598207008964954,1055,89,255,11.857142857142858,14,0.8479635580393525
1.2,9.0,21.0,5,31.0,11.0,0.9307897071872228,0.8007633587786259,0.8608945424702503,1049,78,261,13.071428571428571,14,0.8478231138988217
1.2,9.0,20.0,5,31.0,9.0,0.8615863141524106,0.8458015267175573,0.8536209553158706,1108,178,202,5.857142857142857,14,0.8477638124587277
1.2,11.0,20.5,5,27.0,9.0,0.8645262333594361,0.8427480916030534,0.8534982605334364,1104,173,206,5.785714285714286,14,0.8477125462477221
1.2,11.0,20.5,5,29.0,9.0,0.8663522012578616,0.8412213740458016,0.8536018590240124,1102,170,208,6.0,14,0.8476018590240124
1.2,11.0,20.5,5,29.0,11.0,0.9205933682373473,0.8053435114503816,0.8591205211726384,1055,91,255,11.714285714285714,14,0.8474062354583527
1.2,11.0,20.5,5,31.0,9.0,0.8693586698337292,0.8381679389312977,0.8534784298484259,1098,165,212,6.214285714285714,14,0.8472641441341402
1.2,9.0,21.0,6,31.0,9.0,0.8834555827220864,0.8274809160305343,0.8545526212061488,1084,143,226,7.357142857142857,14,0.847195478349006
1.2,9.0,21.0,5,27.0,9.0,0.8762057877813505,0.8320610687022901,0.8535630383711825,1090,154,220,6.571428571428571,14,0.846991609799754
1.2,9.0,21.0,5,29.0,11.0,0.9283185840707965,0.8007633587786259,0.8598360655737705,1049,81,261,12.857142857142858,14,0.8469789227166276
1.2,11.0,21.0,5,31.0,11.0,0.9251760563380281,0.8022900763358779,0.8593622240392478,1051,85,259,12.428571428571429,14,0.8469336526106763
1.2,9.0,20.0,5,31.0,11.0,0.915944540727903,0.8068702290076336,0.8579545454545454,1057,97,253,11.142857142857142,14,0.8468116883116883
