track_id,start_frame,end_frame,frames_seen,mean_net_intensity,max_net_intensity,dominant_class
0,0.0,73.0,74,48.10405405405406,72.40000000000003,medium
1,0.0,41.0,36,38.372222222222234,49.19999999999999,low
2,0.0,38.0,39,72.0769230769231,121.20000000000002,high
3,0.0,0.0,1,32.19999999999999,32.19999999999999,low
4,0.0,65.0,65,51.91076923076923,83.60000000000002,high
5,0.0,19.0,20,50.725,58.80000000000001,medium
6,0.0,88.0,80,39.4025,51.19999999999999,low
7,0.0,8.0,8,37.15000000000001,48.60000000000002,low
8,0.0,88.0,84,74.44285714285715,95.40000000000003,high
9,0.0,54.0,50,50.04600000000001,66.19999999999999,high
10,0.0,9.0,9,45.07777777777779,60.5,medium
11,0.0,46.0,46,91.69347826086958,126.0,high
12,0.0,33.0,33,43.92424242424242,60.0,medium
13,0.0,88.0,87,49.10229885057472,65.20000000000002,medium
14,0.0,0.0,1,32.400000000000006,32.400000000000006,low
15,0.0,13.0,14,57.22142857142858,66.4,high
16,0.0,63.0,55,42.012727272727275,60.60000000000002,medium
17,0.0,87.0,80,51.30250000000001,75.4,high
18,0.0,0.0,1,43.19999999999999,43.19999999999999,medium
19,0.0,9.0,10,51.720000000000006,71.80000000000001,medium
20,0.0,12.0,12,46.88333333333335,56.0,medium
21,0.0,57.0,55,47.99818181818182,61.20000000000002,medium
22,0.0,1.0,2,41.400000000000006,46.80000000000001,low
23,0.0,7.0,7,36.028571428571425,44.900000000000006,low
24,0.0,7.0,7,60.40000000000001,83.0,high
25,0.0,13.0,11,43.14545454545455,60.0,low
26,0.0,75.0,63,41.84603174603175,55.0,medium
27,0.0,8.0,6,118.83333333333333,135.50000000000003,high
28,0.0,5.0,5,38.20000000000001,42.400000000000006,low
29,0.0,1.0,2,37.7,38.0,low
30,0.0,53.0,49,41.22040816326531,55.60000000000002,low
31,0.0,88.0,84,57.688095238095244,88.19999999999999,high
32,0.0,3.0,4,37.175000000000004,48.5,low
33,0.0,2.0,3,37.46666666666667,39.0,low
34,0.0,2.0,2,34.5,37.0,low
35,0.0,0.0,1,49.80000000000001,49.80000000000001,medium
36,0.0,50.0,36,42.07777777777778,57.69999999999999,medium
37,0.0,46.0,44,48.35227272727273,64.5,medium
38,0.0,15.0,13,46.06153846153846,61.0,high
39,0.0,44.0,45,78.60666666666668,114.19999999999999,high
40,0.0,25.0,21,40.31904761904762,54.19999999999999,low
41,0.0,86.0,79,41.284810126582286,52.5,low
42,0.0,88.0,71,46.011267605633805,67.19999999999999,medium
43,0.0,0.0,1,32.19999999999999,32.19999999999999,low
44,0.0,87.0,72,49.045833333333334,67.0,high
45,0.0,57.0,47,39.723404255319146,55.19999999999999,low
46,0.0,21.0,16,75.89375,94.19999999999999,high
47,0.0,86.0,83,53.78192771084338,67.19999999999999,high
48,0.0,64.0,64,48.67656250000001,64.0,medium
49,0.0,88.0,89,72.20000000000002,91.40000000000003,high
50,0.0,74.0,68,45.27500000000001,58.80000000000001,medium
51,0.0,53.0,49,41.6,51.0,medium
52,0.0,88.0,86,40.75581395348838,54.19999999999999,low
53,0.0,24.0,24,46.0,54.19999999999999,medium
54,0.0,83.0,74,40.756756756756765,53.69999999999999,medium
55,0.0,16.0,17,50.41764705882354,63.10000000000002,high
56,0.0,46.0,44,49.920454545454554,69.70000000000005,high
57,0.0,8.0,5,49.040000000000006,59.70000000000002,high
58,0.0,39.0,32,40.86562500000001,59.60000000000002,low
59,0.0,59.0,54,43.211111111111116,59.0,medium
60,0.0,0.0,1,33.80000000000001,33.80000000000001,low
61,0.0,76.0,65,44.67538461538462,60.5,medium
62,0.0,7.0,7,33.65714285714286,41.0,low
63,0.0,0.0,1,40.0,40.0,low
64,0.0,17.0,16,37.800000000000004,48.10000000000002,low
65,0.0,37.0,34,45.98823529411765,64.0,medium
66,0.0,3.0,3,91.43333333333335,98.00000000000003,high
67,0.0,19.0,17,39.74117647058824,48.60000000000002,medium
68,0.0,3.0,3,47.63333333333333,51.5,medium
69,0.0,82.0,64,40.28906250000001,50.400000000000034,medium
70,0.0,24.0,21,76.41904761904763,89.19999999999999,high
71,0.0,87.0,78,44.38076923076924,57.0,medium
72,0.0,54.0,54,50.12962962962964,62.60000000000002,high
73,0.0,15.0,16,46.30000000000001,57.0,medium
74,0.0,12.0,13,95.30769230769232,119.40000000000003,high
75,0.0,74.0,53,64.80000000000001,81.4,high
76,0.0,74.0,66,56.42272727272727,70.40000000000003,high
77,0.0,3.0,4,48.500000000000014,54.0,high
78,0.0,88.0,82,46.486585365853664,64.19999999999999,medium
79,0.0,0.0,1,36.69999999999999,36.69999999999999,low
80,0.0,57.0,55,74.65818181818183,99.0,high
81,0.0,88.0,89,72.18651685393259,102.00000000000003,high
82,0.0,12.0,12,36.60833333333334,47.400000000000006,low
83,0.0,85.0,76,81.04605263157896,114.4,high
84,0.0,87.0,79,60.58481012658229,78.4,high
85,0.0,50.0,44,54.41363636363637,74.40000000000003,high
86,0.0,29.0,27,38.355555555555554,47.400000000000006,low
87,0.0,82.0,77,46.98311688311689,68.60000000000002,medium
88,0.0,23.0,18,75.51666666666668,105.4,high
89,0.0,54.0,54,56.78333333333334,74.19999999999999,high
90,0.0,0.0,1,37.80000000000001,37.80000000000001,low
91,0.0,64.0,57,45.61929824561404,91.0,medium
92,0.0,3.0,2,58.20000000000003,62.20000000000002,high
93,0.0,64.0,55,39.03272727272728,51.0,low
94,0.0,47.0,41,42.47560975609757,58.20000000000002,low
95,0.0,48.0,45,77.54666666666668,104.19999999999999,high
96,0.0,88.0,82,52.6890243902439,70.0,high
97,0.0,54.0,55,56.438181818181825,75.0,high
98,0.0,8.0,7,105.14285714285715,126.80000000000001,high
99,0.0,3.0,3,40.73333333333333,48.0,medium
100,0.0,31.0,32,46.1375,61.10000000000002,medium
101,0.0,0.0,1,29.0,29.0,low
102,0.0,34.0,34,44.9029411764706,58.19999999999999,medium
103,0.0,10.0,11,54.04545454545455,65.10000000000002,high
104,0.0,2.0,2,37.95,39.400000000000006,low
105,0.0,3.0,4,40.00000000000001,48.0,low
106,0.0,6.0,7,57.44285714285714,82.60000000000002,high
107,1.0,1.0,1,37.400000000000006,37.400000000000006,low
108,1.0,2.0,2,35.70000000000002,40.20000000000002,low
109,1.0,1.0,1,33.400000000000006,33.400000000000006,low
110,1.0,20.0,14,35.25714285714286,42.60000000000002,low
111,1.0,1.0,1,41.19999999999999,41.19999999999999,medium
112,1.0,5.0,2,43.0,46.0,low
113,1.0,3.0,3,36.600000000000016,40.80000000000001,low
114,1.0,39.0,35,45.39142857142857,63.0,medium
115,1.0,7.0,6,38.46666666666667,43.80000000000001,low
116,1.0,1.0,1,42.60000000000002,42.60000000000002,medium
117,1.0,76.0,62,49.3241935483871,71.60000000000002,high
118,1.0,2.0,2,32.70000000000003,33.60000000000002,low
119,1.0,50.0,35,40.628571428571426,57.0,low
120,1.0,53.0,53,48.367924528301884,69.0,medium
121,1.0,2.0,2,38.7,42.400000000000006,low
122,1.0,18.0,8,37.7,43.80000000000001,low
123,1.0,21.0,17,87.98235294117649,104.00000000000003,high
124,1.0,88.0,72,53.087500000000006,95.0,high
125,1.0,1.0,1,51.80000000000004,51.80000000000004,high
126,1.0,28.0,18,36.588888888888896,48.19999999999999,low
127,1.0,29.0,24,46.65416666666667,72.4,high
128,1.0,77.0,70,39.70857142857143,52.80000000000001,low
129,1.0,2.0,2,37.8,42.19999999999999,low
130,1.0,1.0,1,52.400000000000006,52.400000000000006,high
131,1.0,26.0,25,49.02800000000001,68.60000000000002,medium
132,1.0,4.0,2,35.89999999999999,37.0,low
133,2.0,2.0,1,35.60000000000002,35.60000000000002,low
134,2.0,2.0,1,38.60000000000002,38.60000000000002,low
135,2.0,2.0,1,32.80000000000001,32.80000000000001,low
136,2.0,2.0,1,30.200000000000017,30.200000000000017,low
137,2.0,11.0,5,36.040000000000006,38.0,low
138,2.0,10.0,5,40.60000000000001,49.0,low
139,2.0,41.0,27,38.007407407407406,48.5,low
140,2.0,2.0,1,35.400000000000006,35.400000000000006,low
141,3.0,4.0,2,39.900000000000006,43.80000000000001,low
142,3.0,88.0,81,106.32592592592594,134.2,high
143,3.0,3.0,1,64.4,64.4,high
144,3.0,3.0,1,40.60000000000002,40.60000000000002,medium
145,3.0,37.0,33,39.106060606060616,57.60000000000002,low
146,3.0,21.0,13,76.70769230769231,105.19999999999999,high
147,3.0,3.0,1,39.0,39.0,low
148,3.0,22.0,16,90.76250000000003,118.0,high
149,3.0,4.0,2,35.3,39.19999999999999,low
150,4.0,4.0,1,29.80000000000001,29.80000000000001,low
151,4.0,7.0,2,35.400000000000006,42.400000000000006,low
152,4.0,4.0,1,37.400000000000006,37.400000000000006,low
153,4.0,64.0,48,39.77500000000001,60.400000000000006,low
154,4.0,40.0,34,79.03235294117648,95.4,high
155,4.0,4.0,1,35.900000000000006,35.900000000000006,low
156,4.0,8.0,5,43.620000000000005,60.0,low
157,4.0,4.0,1,35.19999999999999,35.19999999999999,low
158,5.0,6.0,2,32.599999999999994,34.19999999999999,low
159,5.0,5.0,1,31.19999999999999,31.19999999999999,low
160,5.0,11.0,4,34.5,39.19999999999999,low
161,5.0,6.0,2,30.400000000000006,31.0,low
162,6.0,6.0,1,34.60000000000002,34.60000000000002,low
163,6.0,13.0,8,37.9375,42.0,low
164,6.0,88.0,76,46.575,64.0,medium
165,6.0,22.0,12,34.741666666666674,41.5,low
166,6.0,6.0,1,36.400000000000006,36.400000000000006,low
167,6.0,6.0,1,39.0,39.0,low
168,7.0,7.0,1,40.19999999999999,40.19999999999999,low
169,7.0,8.0,2,43.400000000000006,47.0,low
170,7.0,7.0,1,33.20000000000002,33.20000000000002,low
171,7.0,7.0,1,34.19999999999999,34.19999999999999,low
