track_id,start_frame,end_frame,frames_seen,mean_net_intensity,max_net_intensity,dominant_class
0,0.0,73.0,74,48.113513513513524,72.40000000000003,medium
1,0.0,46.0,47,70.95106382978724,121.20000000000002,high
2,0.0,65.0,59,52.469491525423734,83.60000000000002,high
3,0.0,86.0,78,47.00256410256411,63.80000000000001,medium
4,0.0,83.0,68,40.233823529411765,51.19999999999999,low
5,0.0,0.0,1,40.400000000000006,40.400000000000006,low
6,0.0,88.0,84,74.44285714285715,95.40000000000003,high
7,0.0,88.0,86,48.73255813953488,66.19999999999999,medium
8,0.0,54.0,55,47.121818181818185,61.400000000000006,medium
9,0.0,86.0,85,84.51882352941178,126.0,high
10,0.0,54.0,45,43.64222222222222,60.0,low
11,0.0,87.0,87,48.84827586206898,65.20000000000002,medium
12,0.0,25.0,24,51.650000000000006,66.4,high
13,0.0,1.0,2,39.00000000000003,44.60000000000002,low
14,0.0,85.0,68,51.37058823529412,70.0,high
15,0.0,88.0,85,47.44823529411765,71.80000000000001,medium
16,0.0,86.0,83,47.26024096385543,66.0,medium
17,0.0,86.0,81,47.522222222222226,61.20000000000002,medium
18,0.0,1.0,2,45.150000000000006,46.80000000000001,medium
19,0.0,88.0,78,75.16025641025642,95.4,high
20,0.0,88.0,81,42.69753086419754,56.30000000000004,low
21,0.0,13.0,11,42.409090909090914,60.0,low
22,0.0,16.0,14,115.0357142857143,135.50000000000003,high
23,0.0,2.0,2,41.900000000000006,42.400000000000006,low
24,0.0,40.0,34,43.017647058823535,56.10000000000002,low
25,0.0,88.0,73,58.73698630136987,88.19999999999999,high
26,0.0,1.0,2,42.45,48.5,low
27,0.0,53.0,50,44.632000000000005,63.0,low
28,0.0,87.0,81,43.754320987654324,68.19999999999999,medium
29,0.0,74.0,64,46.6328125,64.5,medium
30,0.0,14.0,11,48.27272727272728,61.0,medium
31,0.0,19.0,19,85.50526315789475,114.19999999999999,high
32,0.0,45.0,40,49.290000000000006,63.80000000000001,medium
33,0.0,46.0,43,42.853488372093025,58.400000000000006,low
34,0.0,55.0,54,47.296296296296305,67.19999999999999,medium
35,0.0,88.0,76,48.96052631578948,71.60000000000002,medium
36,0.0,56.0,42,40.33809523809524,55.19999999999999,low
37,0.0,88.0,83,75.5698795180723,94.19999999999999,high
38,0.0,86.0,84,53.78452380952382,69.60000000000002,high
39,0.0,21.0,17,50.41176470588237,64.0,medium
40,0.0,88.0,89,72.22247191011238,91.40000000000003,high
41,0.0,88.0,77,45.98181818181819,59.70000000000002,medium
42,0.0,19.0,16,42.462500000000006,50.19999999999999,low
43,0.0,53.0,43,43.34418604651163,54.19999999999999,low
44,0.0,21.0,17,46.69411764705882,54.19999999999999,medium
45,0.0,53.0,48,41.59791666666667,52.19999999999999,low
46,0.0,88.0,85,47.17411764705883,66.69999999999999,medium
47,0.0,88.0,76,46.13815789473685,55.60000000000002,medium
48,0.0,88.0,82,46.96829268292684,69.0,medium
49,0.0,39.0,26,41.98846153846155,59.60000000000002,low
50,0.0,24.0,22,45.654545454545456,59.0,medium
